station_name,free_bikes,empty_slots,latitude,longitude,timestamp
Konstablerwache,14,26,50.11415481567383,8.686700820922852,2026-01-07 22:08:11.686274
Oberlindau / Staufenstraße,3,37,50.11941909790039,8.669050216674805,2026-01-07 22:08:11.686274
Radisson Blu Hotel,2,38,50.117332458496094,8.627662658691406,2026-01-07 22:08:11.686275
Waldemar Straße / Altenhainer Straße,1,39,50.1067008972168,8.634380340576172,2026-01-07 22:08:11.686275
Lurgiallee / Sebastian-Kneipp-Straße,11,29,50.16971969604492,8.6409330368042,2026-01-07 22:08:11.686277
Sophienstraße / Bernusstraße,0,40,50.126220703125,8.645190238952637,2026-01-07 22:08:11.686277
Osthafenplatz / Hanauer Landstraße,12,28,50.11115264892578,8.712002754211426,2026-01-07 22:08:11.686278
Karlsruher Straße  /  Mannheimer Straße,0,40,50.105220794677734,8.663209915161133,2026-01-07 22:08:11.686278
Nordring / Goethering,1,39,50.11164855957031,8.740596771240234,2026-01-07 22:08:11.686279
Kurt-Schumacher Straße / Börneplatz,0,40,50.11198043823242,8.687911033630371,2026-01-07 22:08:11.686279
Grüneburgweg / Siesmayerstraße (Palmengarten),5,35,50.12324523925781,8.658509254455566,2026-01-07 22:08:11.686280
Buchrainplatz,5,35,50.100059509277344,8.724601745605469,2026-01-07 22:08:11.686280
Am Tiergarten / Maulbeerstraße,0,40,50.11530685424805,8.70486068725586,2026-01-07 22:08:11.686282
Deutscher Wetterdienst / August-Bebel-Ring,1,39,50.10219955444336,8.745889663696289,2026-01-07 22:08:11.686282
Rödelheimer Landstraße / Ludwig-Landmann-Straße,10,30,50.121315002441406,8.62018871307373,2026-01-07 22:08:11.686283
Gerauer Straße / Adolf-Miersch-Straße,2,38,50.08340072631836,8.644189834594727,2026-01-07 22:08:11.686283
Bettinaplatz / Bettinastraße,1,39,50.113861083984375,8.656394958496094,2026-01-07 22:08:11.686283
Rechneigrabenstraße / Lange Straße,1,39,50.11119842529297,8.692375183105469,2026-01-07 22:08:11.686284
Alfred-Brehm-Platz / Zoo Frankfurt,1,39,50.115543365478516,8.698468208312988,2026-01-07 22:08:11.686284
Kaiserlei Ausgang Berliner Straße,2,38,50.105228424072266,8.740872383117676,2026-01-07 22:08:11.686285
Schäfergasse / Stephanstraße,2,38,50.11640167236328,8.684700012207031,2026-01-07 22:08:11.686285
Zum Pfarrturm / Saalgasse,0,40,50.11000442504883,8.684974670410156,2026-01-07 22:08:11.686286
Schweizer Straße / Oppenheimer Landstraße,1,39,50.10161209106445,8.680907249450684,2026-01-07 22:08:11.686286
Campus Westend / Hansaallee / Bremer Straße,21,19,50.127174377441406,8.67147445678711,2026-01-07 22:08:11.686287
